State_Name,District_Name
ARUNACHAL PRADESH,KURUNG KUMEY
ARUNACHAL PRADESH,LOHIT
ARUNACHAL PRADESH,LONGDING
ARUNACHAL PRADESH,LOWER DIBANG VALLEY
ARUNACHAL PRADESH,LOWER SUBANSIRI
ARUNACHAL PRADESH,NAMSAI
ARUNACHAL PRADESH,PAPUM PARE
ARUNACHAL PRADESH,TAWANG
ARUNACHAL PRADESH,TIRAP
ARUNACHAL PRADESH,UPPER SIANG
ARUNACHAL PRADESH,UPPER SUBANSIRI
ARUNACHAL PRADESH,WEST KAMENG
ARUNACHAL PRADESH,WEST SIANG
ASSAM,BAKSA
ASSAM,CHIRANG
ASSAM,DIMA HASAO
ASSAM,KAMRUP METRO
ASSAM,SIVASAGAR
ASSAM,UDALGURI
BIHAR,KAIMUR (BHABUA)
BIHAR,PASHCHIM CHAMPARAN
BIHAR,PURBI CHAMPARAN
CHANDIGARH,CHANDIGARH
CHHATTISGARH,BALOD
CHHATTISGARH,BALODA BAZAR
CHHATTISGARH,BEMETARA
CHHATTISGARH,BIJAPUR
CHHATTISGARH,GARIYABAND
CHHATTISGARH,KABIRDHAM
CHHATTISGARH,KONDAGAON
CHHATTISGARH,KOREA
CHHATTISGARH,MUNGELI
CHHATTISGARH,NARAYANPUR
CHHATTISGARH,SUKMA
CHHATTISGARH,SURAJPUR
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI
GOA,NORTH GOA
GOA,SOUTH GOA
GUJARAT,AHMADABAD
GUJARAT,BANAS KANTHA
GUJARAT,DANG
GUJARAT,DOHAD
GUJARAT,KACHCHH
GUJARAT,PANCH MAHALS
GUJARAT,SABAR KANTHA
HIMACHAL PRADESH,LAHUL AND SPITI
JAMMU AND KASHMIR,LEH LADAKH
JAMMU AND KASHMIR,POONCH
JHARKHAND,EAST SINGHBUM
JHARKHAND,HAZARIBAGH
JHARKHAND,SARAIKELA KHARSAWAN
KARNATAKA,BENGALURU URBAN
KARNATAKA,BIJAPUR
KARNATAKA,CHIKBALLAPUR
KARNATAKA,DAKSHIN KANNAD
KARNATAKA,DAVANGERE
KARNATAKA,UTTAR KANNAD
KARNATAKA,YADGIR
MADHYA PRADESH,SAGAR
MEGHALAYA,EAST JAINTIA HILLS
MEGHALAYA,NORTH GARO HILLS
MEGHALAYA,RI BHOI
MEGHALAYA,SOUTH WEST GARO HILLS
MEGHALAYA,SOUTH WEST KHASI HILLS
MEGHALAYA,WEST JAINTIA HILLS
NAGALAND,KIPHIRE
NAGALAND,LONGLENG
NAGALAND,PEREN
ODISHA,ANUGUL
ODISHA,BALESHWAR
ODISHA,JAGATSINGHAPUR
ODISHA,JAJAPUR
ODISHA,KENDUJHAR
PUDUCHERRY,KARAIKAL
PUDUCHERRY,MAHE
PUDUCHERRY,PONDICHERRY
PUDUCHERRY,YANAM
PUNJAB,FIROZEPUR
PUNJAB,S.A.S NAGAR
RAJASTHAN,GANGANAGAR
SIKKIM,EAST DISTRICT
SIKKIM,NORTH DISTRICT
SIKKIM,SOUTH DISTRICT
SIKKIM,WEST DISTRICT
TAMIL NADU,KANNIYAKUMARI
TAMIL NADU,THE NILGIRIS
TAMIL NADU,THIRUVALLUR
TAMIL NADU,THIRUVARUR
TAMIL NADU,TUTICORIN
TAMIL NADU,VILLUPURAM
TELANGANA,MAHBUBNAGAR
TELANGANA,RANGAREDDI
TELANGANA,WARANGAL
UTTAR PRADESH,KUSHI NAGAR
UTTAR PRADESH,RAE BARELI
UTTAR PRADESH,SANT KABEER NAGAR
UTTAR PRADESH,SANT RAVIDAS NAGAR
UTTAR PRADESH,SIDDHARTH NAGAR
UTTARAKHAND,RUDRA PRAYAG
UTTARAKHAND,UDAM SINGH NAGAR
UTTARAKHAND,UTTAR KASHI
WEST BENGAL,24 PARAGANAS NORTH
WEST BENGAL,24 PARAGANAS SOUTH
WEST BENGAL,BARDHAMAN
WEST BENGAL,COOCHBEHAR
WEST BENGAL,DINAJPUR DAKSHIN
WEST BENGAL,DINAJPUR UTTAR
WEST BENGAL,MALDAH
WEST BENGAL,MEDINIPUR EAST
WEST BENGAL,MEDINIPUR WEST
